"GEO_ID","NAME","B28003_001E","B28003_001EA","B28003_001M","B28003_001MA","B28003_002E","B28003_002EA","B28003_002M","B28003_002MA","B28003_003E","B28003_003EA","B28003_003M","B28003_003MA","B28003_004E","B28003_004EA","B28003_004M","B28003_004MA","B28003_005E","B28003_005EA","B28003_005M","B28003_005MA","B28003_006E","B28003_006EA","B28003_006M","B28003_006MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Has a computer:","Annotation of Estimate!!Total:!!Has a computer:","Margin of Error!!Total:!!Has a computer:","Annotation of Margin of Error!!Total:!!Has a computer:","Estimate!!Total:!!Has a computer:!!With dial-up Internet subscription alone","Annotation of Estimate!!Total:!!Has a computer:!!With dial-up Internet subscription alone","Margin of Error!!Total:!!Has a computer:!!With dial-up Internet subscription alone","Annotation of Margin of Error!!Total:!!Has a computer:!!With dial-up Internet subscription alone","Estimate!!Total:!!Has a computer:!!With a broadband Internet subscription","Annotation of Estimate!!Total:!!Has a computer:!!With a broadband Internet subscription","Margin of Error!!Total:!!Has a computer:!!With a broadband Internet subscription","Annotation of Margin of Error!!Total:!!Has a computer:!!With a broadband Internet subscription","Estimate!!Total:!!Has a computer:!!Without an Internet subscription","Annotation of Estimate!!Total:!!Has a computer:!!Without an Internet subscription","Margin of Error!!Total:!!Has a computer:!!Without an Internet subscription","Annotation of Margin of Error!!Total:!!Has a computer:!!Without an Internet subscription","Estimate!!Total:!!No computer","Annotation of Estimate!!Total:!!No computer","Margin of Error!!Total:!!No computer","Annotation of Margin of Error!!Total:!!No computer",
"0500000US01111","Randolph County, Alabama","8702","null","372","null","7160","null","386","null","168","null","92","null","5999","null","378","null","993","null","191","null","1542","null","249","null",
"0500000US01113","Russell County, Alabama","23262","null","550","null","19956","null","685","null","62","null","56","null","16379","null","695","null","3515","null","476","null","3306","null","404","null",
"0500000US01115","St. Clair County, Alabama","32036","null","656","null","28129","null","727","null","253","null","125","null","24744","null","751","null","3132","null","513","null","3907","null","515","null",
"0500000US01117","Shelby County, Alabama","79630","null","658","null","75120","null","719","null","119","null","49","null","69955","null","805","null","5046","null","493","null","4510","null","404","null",
"0500000US01119","Sumter County, Alabama","5202","null","282","null","3783","null","320","null","15","null","21","null","3138","null","321","null","630","null","151","null","1419","null","271","null",
"0500000US01121","Talladega County, Alabama","31395","null","608","null","26022","null","758","null","49","null","41","null","22648","null","727","null","3325","null","432","null","5373","null","513","null",
"0500000US01123","Tallapoosa County, Alabama","16205","null","445","null","13624","null","451","null","28","null","22","null","12054","null","483","null","1542","null","257","null","2581","null","364","null",
"0500000US01125","Tuscaloosa County, Alabama","72461","null","906","null","63850","null","979","null","90","null","54","null","57574","null","914","null","6186","null","565","null","8611","null","601","null",
"0500000US01127","Walker County, Alabama","25019","null","544","null","20715","null","572","null","99","null","49","null","17776","null","577","null","2840","null","311","null","4304","null","398","null",
"0500000US01129","Washington County, Alabama","5990","null","281","null","4699","null","311","null","47","null","44","null","3687","null","305","null","965","null","181","null","1291","null","199","null",
"0500000US01131","Wilcox County, Alabama","3854","null","213","null","2554","null","241","null","63","null","41","null","2054","null","237","null","437","null","109","null","1300","null","198","null",
"0500000US01133","Winston County, Alabama","9592","null","305","null","7620","null","321","null","70","null","40","null","6180","null","352","null","1370","null","267","null","1972","null","264","null",
"0500000US02013","Aleutians East Borough, Alaska","890","null","125","null","777","null","110","null","0","null","9","null","555","null","87","null","222","null","38","null","113","null","32","null",
"0500000US02016","Aleutians West Census Area, Alaska","1187","null","143","null","1102","null","136","null","3","null","3","null","910","null","120","null","189","null","28","null","85","null","17","null",
"0500000US02020","Anchorage Municipality, Alaska","106567","null","1023","null","102206","null","1081","null","213","null","100","null","95438","null","1163","null","6555","null","599","null","4361","null","569","null",
"0500000US02050","Bethel Census Area, Alaska","4489","null","158","null","3924","null","155","null","2","null","2","null","3258","null","153","null","664","null","78","null","565","null","72","null",
"0500000US02060","Bristol Bay Borough, Alaska","314","null","37","null","290","null","34","null","2","null","3","null","246","null","32","null","42","null","15","null","24","null","11","null",
"0500000US02068","Denali Borough, Alaska","613","null","231","null","591","null","229","null","0","null","9","null","546","null","217","null","45","null","24","null","22","null","17","null",
"0500000US02070","Dillingham Census Area, Alaska","1427","null","74","null","1267","null","78","null","0","null","9","null","1081","null","71","null","186","null","38","null","160","null","31","null",
"0500000US02090","Fairbanks North Star Borough, Alaska","36188","null","796","null","34665","null","831","null","309","null","156","null","30908","null","942","null","3448","null","562","null","1523","null","327","null",
"0500000US02100","Haines Borough, Alaska","1007","null","99","null","976","null","96","null","17","null","24","null","844","null","97","null","115","null","70","null","31","null","13","null",
"0500000US02105","Hoonah-Angoon Census Area, Alaska","791","null","70","null","657","null","58","null","0","null","9","null","503","null","53","null","154","null","34","null","134","null","29","null",
"0500000US02110","Juneau City and Borough, Alaska","12676","null","259","null","12151","null","293","null","17","null","21","null","11425","null","322","null","709","null","188","null","525","null","175","null",
"0500000US02122","Kenai Peninsula Borough, Alaska","21630","null","455","null","19644","null","456","null","242","null","87","null","17056","null","475","null","2346","null","220","null","1986","null","280","null",
"0500000US02130","Ketchikan Gateway Borough, Alaska","5397","null","125","null","4996","null","130","null","13","null","9","null","4537","null","127","null","446","null","71","null","401","null","72","null",
"0500000US02150","Kodiak Island Borough, Alaska","4261","null","199","null","3858","null","240","null","0","null","15","null","3550","null","245","null","308","null","112","null","403","null","147","null",
"0500000US02158","Kusilvak Census Area, Alaska","1724","null","71","null","1414","null","78","null","0","null","13","null","1113","null","61","null","301","null","49","null","310","null","35","null",
"0500000US02164","Lake and Peninsula Borough, Alaska","421","null","127","null","354","null","107","null","0","null","9","null","275","null","84","null","79","null","28","null","67","null","26","null",
"0500000US02170","Matanuska-Susitna Borough, Alaska","31217","null","352","null","29611","null","357","null","147","null","47","null","26973","null","359","null","2491","null","222","null","1606","null","148","null",
"0500000US02180","Nome Census Area, Alaska","2844","null","138","null","2580","null","121","null","0","null","13","null","2097","null","126","null","483","null","64","null","264","null","52","null",
"0500000US02185","North Slope Borough, Alaska","1979","null","131","null","1705","null","155","null","0","null","13","null","1376","null","137","null","329","null","63","null","274","null","62","null",
"0500000US02188","Northwest Arctic Borough, Alaska","1795","null","62","null","1553","null","72","null","0","null","13","null","1365","null","81","null","188","null","36","null","242","null","51","null",
"0500000US02195","Petersburg Borough, Alaska","1187","null","116","null","1113","null","109","null","2","null","3","null","974","null","114","null","137","null","56","null","74","null","23","null",
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","2371","null","86","null","2033","null","89","null","0","null","13","null","1556","null","88","null","477","null","63","null","338","null","55","null",
"0500000US02220","Sitka City and Borough, Alaska","3547","null","117","null","3322","null","120","null","13","null","15","null","2977","null","125","null","332","null","69","null","225","null","53","null",
"0500000US02230","Skagway Municipality, Alaska","375","null","40","null","360","null","37","null","0","null","9","null","316","null","38","null","44","null","13","null","15","null","10","null",
"0500000US02240","Southeast Fairbanks Census Area, Alaska","2170","null","120","null","1949","null","125","null","9","null","10","null","1552","null","119","null","388","null","80","null","221","null","52","null",
"0500000US02261","Valdez-Cordova Census Area, Alaska","3177","null","166","null","2978","null","170","null","0","null","13","null","2553","null","186","null","425","null","153","null","199","null","79","null",
"0500000US02275","Wrangell City and Borough, Alaska","1027","null","68","null","871","null","70","null","2","null","3","null","758","null","65","null","111","null","56","null","156","null","47","null",
"0500000US02282","Yakutat City and Borough, Alaska","219","null","26","null","196","null","24","null","2","null","2","null","157","null","22","null","37","null","12","null","23","null","8","null",
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","1856","null","84","null","1269","null","85","null","2","null","6","null","788","null","76","null","479","null","45","null","587","null","39","null",
"0500000US04001","Apache County, Arizona","20867","null","391","null","11892","null","367","null","186","null","55","null","7709","null","312","null","3997","null","296","null","8975","null","373","null",
"0500000US04003","Cochise County, Arizona","50163","null","919","null","44301","null","906","null","142","null","60","null","39816","null","943","null","4343","null","480","null","5862","null","408","null",
"0500000US04005","Coconino County, Arizona","47447","null","904","null","43122","null","913","null","167","null","62","null","36949","null","971","null","6006","null","549","null","4325","null","399","null",
"0500000US04007","Gila County, Arizona","21945","null","614","null","18400","null","614","null","93","null","75","null","14282","null","632","null","4025","null","464","null","3545","null","400","null",
"0500000US04009","Graham County, Arizona","11017","null","366","null","9725","null","376","null","9","null","14","null","8239","null","381","null","1477","null","217","null","1292","null","198","null",
"0500000US04011","Greenlee County, Arizona","3132","null","169","null","2884","null","176","null","7","null","12","null","2572","null","201","null","305","null","113","null","248","null","69","null",
"0500000US04012","La Paz County, Arizona","9346","null","469","null","7464","null","517","null","30","null","26","null","5761","null","459","null","1673","null","445","null","1882","null","368","null",
"0500000US04013","Maricopa County, Arizona","1552096","null","5014","null","1448631","null","5535","null","4393","null","381","null","1331055","null","5957","null","113183","null","2550","null","103465","null","2308","null",
"0500000US04015","Mohave County, Arizona","86889","null","1144","null","76249","null","1274","null","426","null","145","null","69085","null","1338","null","6738","null","580","null","10640","null","813","null",
"0500000US04017","Navajo County, Arizona","34990","null","729","null","26993","null","688","null","150","null","57","null","21415","null","571","null","5428","null","449","null","7997","null","401","null",
"0500000US04019","Pima County, Arizona","404739","null","1896","null","373295","null","2038","null","1403","null","202","null","343675","null","2257","null","28217","null","1259","null","31444","null","1086","null",
"0500000US04021","Pinal County, Arizona","141300","null","1546","null","128731","null","1662","null","314","null","94","null","117474","null","1752","null","10943","null","826","null","12569","null","743","null",
"0500000US04023","Santa Cruz County, Arizona","15853","null","374","null","13201","null","388","null","51","null","35","null","11523","null","462","null","1627","null","342","null","2652","null","306","null",
