"GEO_ID","NAME","B28003_001E","B28003_001EA","B28003_001M","B28003_001MA","B28003_002E","B28003_002EA","B28003_002M","B28003_002MA","B28003_003E","B28003_003EA","B28003_003M","B28003_003MA","B28003_004E","B28003_004EA","B28003_004M","B28003_004MA","B28003_005E","B28003_005EA","B28003_005M","B28003_005MA","B28003_006E","B28003_006M","B28003_006MA","B28003_006EA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Has a computer:","Annotation of Estimate!!Total:!!Has a computer:","Margin of Error!!Total:!!Has a computer:","Annotation of Margin of Error!!Total:!!Has a computer:","Estimate!!Total:!!Has a computer:!!With dial-up Internet subscription alone","Annotation of Estimate!!Total:!!Has a computer:!!With dial-up Internet subscription alone","Margin of Error!!Total:!!Has a computer:!!With dial-up Internet subscription alone","Annotation of Margin of Error!!Total:!!Has a computer:!!With dial-up Internet subscription alone","Estimate!!Total:!!Has a computer:!!With a broadband Internet subscription","Annotation of Estimate!!Total:!!Has a computer:!!With a broadband Internet subscription","Margin of Error!!Total:!!Has a computer:!!With a broadband Internet subscription","Annotation of Margin of Error!!Total:!!Has a computer:!!With a broadband Internet subscription","Estimate!!Total:!!Has a computer:!!Without an Internet subscription","Annotation of Estimate!!Total:!!Has a computer:!!Without an Internet subscription","Margin of Error!!Total:!!Has a computer:!!Without an Internet subscription","Annotation of Margin of Error!!Total:!!Has a computer:!!Without an Internet subscription","Estimate!!Total:!!No computer","Margin of Error!!Total:!!No computer","Annotation of Margin of Error!!Total:!!No computer","Annotation of Estimate!!Total:!!No computer",
"0500000US01101","Montgomery County, Alabama","89134","null","970","null","81491","null","1147","null","77","null","52","null","74415","null","1326","null","6999","null","673","null","7643","569","null","null",
"0500000US01103","Morgan County, Alabama","47459","null","585","null","41943","null","771","null","57","null","51","null","37301","null","915","null","4585","null","676","null","5516","597","null","null",
"0500000US01105","Perry County, Alabama","2847","null","229","null","1796","null","263","null","0","null","18","null","1534","null","242","null","262","null","106","null","1051","226","null","null",
"0500000US01107","Pickens County, Alabama","6993","null","306","null","5871","null","345","null","28","null","22","null","5028","null","341","null","815","null","149","null","1122","193","null","null",
"0500000US01109","Pike County, Alabama","11508","null","492","null","9587","null","456","null","21","null","16","null","8460","null","394","null","1106","null","259","null","1921","318","null","null",
"0500000US01111","Randolph County, Alabama","8607","null","342","null","7464","null","346","null","78","null","62","null","6476","null","382","null","910","null","229","null","1143","190","null","null",
"0500000US01113","Russell County, Alabama","23141","null","483","null","20432","null","704","null","0","null","30","null","17118","null","752","null","3314","null","622","null","2709","451","null","null",
"0500000US01115","St. Clair County, Alabama","33218","null","567","null","30622","null","665","null","198","null","93","null","28194","null","688","null","2230","null","416","null","2596","423","null","null",
"0500000US01117","Shelby County, Alabama","82005","null","620","null","78609","null","725","null","105","null","60","null","74795","null","811","null","3709","null","473","null","3396","430","null","null",
"0500000US01119","Sumter County, Alabama","4808","null","217","null","3766","null","270","null","2","null","4","null","3130","null","272","null","634","null","161","null","1042","173","null","null",
"0500000US01121","Talladega County, Alabama","31778","null","584","null","27488","null","732","null","38","null","36","null","25052","null","776","null","2398","null","438","null","4290","481","null","null",
"0500000US01123","Tallapoosa County, Alabama","16380","null","454","null","14497","null","541","null","6","null","11","null","12840","null","569","null","1651","null","380","null","1883","326","null","null",
